seller,price,priceCurrency,inventory,mov,movCurrency,movProgress,quantityInCart,unit,isTraceable,qid
GELD3O,13.48,EUR,845,350.00,EUR,0.000,0,1,True,4202783a-a1b3-4944-9e33-b2fef8be0e97
O8V81R,13.81,EUR,476,600.00,EUR,0.000,0,1,True,c474f183-7291-4dc0-8da5-5a86a42999f8
EMJVM7,13.92,EUR,960,600.00,EUR,0.000,0,1,True,fefd11b0-068f-498d-85bd-d99df0bfa43a
LEKM75,14.92,EUR,480,350.00,EUR,0.000,0,1,True,f61f27a6-badb-4b88-96b3-e790d48835ad
7X38GR,15.18,EUR,62,350.00,EUR,0.000,0,1,False,d9b4027d-ac55-466e-aee2-da0e30ea77a4
LE3KGL,15.47,EUR,8,400.00,EUR,0.000,0,1,True,7daffcae-bc5d-4877-af87-a72d525644b7
XDR492,15.47,EUR,7294,350.00,EUR,0.109,0,1,True,a488b1d1-0df4-4e38-a293-f57a4c17fe2a
D3GL69,15.54,EUR,480,600.00,EUR,0.000,0,1,False,4e70e528-a9cd-47f1-a899-9616fa787bff
LEG4LL,16.02,EUR,248,650.00,EUR,0.000,0,1,True,1c2debe8-afe2-4bf1-9101-7dd7d34da475
JEL9LW,16.52,EUR,41,350.00,EUR,0.000,0,1,True,64a0e9ac-685d-46ac-b20e-a4cd6fa9ea13
5W7KXX,16.52,EUR,4134,350.00,EUR,0.000,0,1,True,5cdacda0-f18a-4d16-a830-d8091c86b8bb
4Z17XY,16.58,EUR,557,600.00,EUR,0.000,0,1,True,b08b4936-1036-4206-9d5b-e98be782478c
RDMJY2,16.67,EUR,465,350.00,EUR,0.000,0,1,True,6a93ccce-c166-4fd1-9433-7ef613c74836
D3YYY9,17.00,EUR,169,350.00,EUR,0.000,0,1,True,78cc7862-81e9-4287-aa2a-fb817739c023
33Q84L,17.00,EUR,162,350.00,EUR,0.000,0,1,True,602ede50-1f96-459e-9407-dfa7ee850b1a
YEWKXG,17.68,EUR,540,600.00,EUR,0.000,0,6,True,acb29dd7-986b-470f-b78f-e57bc9053ade
MOWM93,17.70,EUR,228,900.00,EUR,0.579,0,1,False,61679269-4c87-42c9-be59-2a449fff5d15
LE6V5O,17.96,EUR,336,600.00,EUR,0.000,0,1,True,7bd71eb9-2565-4280-83ae-c259b0365685
YER629,17.98,EUR,402,350.00,EUR,0.000,0,1,False,d9b5a177-c58f-4654-9b70-e5177d7728d8
4ZW4R8,18.12,EUR,93,600.00,EUR,0.000,0,1,True,3a7fb8e8-a029-43b0-b713-4a313a36da5c
4ZQWEZ,18.52,EUR,130,400.00,EUR,0.000,0,1,True,f0b71748-86c4-4833-bc15-b4b99d89f793
QV8ZMW,18.69,EUR,19,350.00,EUR,0.000,0,1,True,96370c09-6892-442a-88c0-465ab0729a36
EM8Q28,18.91,EUR,31,350.00,EUR,0.000,0,1,True,e6e086d3-2c6a-41d4-85ec-55985b7e3b1a
JELDG5,19.32,EUR,92,350.00,EUR,0.000,0,1,True,b24989f9-e592-40e2-b1fd-3bbb1a61b83a
5W8DGX,22.00,EUR,96,350.00,EUR,0.036,0,1,True,23b0c639-a196-4ffc-b8d6-e890b8d9c032
LEKDZL,22.77,EUR,128,350.00,EUR,0.000,0,1,True,f87ae68a-425c-451a-879c-415b80983563
QV9QOD,37.67,EUR,7,400.00,EUR,0.000,0,1,False,22c03fa7-9e1b-4e3a-bc94-391854f06d07
